week_id,week_position,song,performer,spotify_genre_clean
5/25/2013,24,#Beautiful,Mariah Carey Featuring Miguel,r&b
6/1/2013,20,#Beautiful,Mariah Carey Featuring Miguel,r&b
6/8/2013,20,#Beautiful,Mariah Carey Featuring Miguel,r&b
7/20/2013,17,#Beautiful,Mariah Carey Featuring Miguel,r&b
6/29/2013,15,#Beautiful,Mariah Carey Featuring Miguel,r&b
7/27/2013,23,#Beautiful,Mariah Carey Featuring Miguel,r&b
8/3/2013,37,#Beautiful,Mariah Carey Featuring Miguel,r&b
6/22/2013,15,#Beautiful,Mariah Carey Featuring Miguel,r&b
6/15/2013,17,#Beautiful,Mariah Carey Featuring Miguel,r&b
7/6/2013,16,#Beautiful,Mariah Carey Featuring Miguel,r&b
7/13/2013,17,#Beautiful,Mariah Carey Featuring Miguel,r&b
5/3/2014,45,#SELFIE,The Chainsmokers,house
3/22/2014,28,#SELFIE,The Chainsmokers,house
3/29/2014,18,#SELFIE,The Chainsmokers,house
4/19/2014,20,#SELFIE,The Chainsmokers,house
4/12/2014,18,#SELFIE,The Chainsmokers,house
4/5/2014,16,#SELFIE,The Chainsmokers,house
4/26/2014,33,#SELFIE,The Chainsmokers,house
5/25/2013,20,#thatPOWER,will.i.am Featuring Justin Bieber,rap
4/6/2013,42,#thatPOWER,will.i.am Featuring Justin Bieber,rap
6/1/2013,19,#thatPOWER,will.i.am Featuring Justin Bieber,rap
5/11/2013,17,#thatPOWER,will.i.am Featuring Justin Bieber,rap
6/8/2013,19,#thatPOWER,will.i.am Featuring Justin Bieber,rap
6/15/2013,21,#thatPOWER,will.i.am Featuring Justin Bieber,rap
5/4/2013,43,#thatPOWER,will.i.am Featuring Justin Bieber,rap
5/18/2013,19,#thatPOWER,will.i.am Featuring Justin Bieber,rap
6/22/2013,33,#thatPOWER,will.i.am Featuring Justin Bieber,rap
12/26/2020,39,'Tis The Damn Season,Taylor Swift,pop
12/18/2010,38,(I've Had) The Time Of My Life,Glee Cast,NA
5/28/2011,35,(It) Feels So Good,Steven Tyler,country
6/9/2012,44,(Kissed You) Good Night,Gloriana,country
7/7/2012,48,(Kissed You) Good Night,Gloriana,country
7/14/2012,45,(Kissed You) Good Night,Gloriana,country
7/21/2012,43,(Kissed You) Good Night,Gloriana,country
7/28/2012,40,(Kissed You) Good Night,Gloriana,country
8/4/2012,36,(Kissed You) Good Night,Gloriana,country
8/11/2012,36,(Kissed You) Good Night,Gloriana,country
9/1/2012,46,(Kissed You) Good Night,Gloriana,country
8/18/2012,34,(Kissed You) Good Night,Gloriana,country
8/25/2012,39,(Kissed You) Good Night,Gloriana,country
12/29/2018,41,(There's No Place Like) Home For The Holidays,Perry Como,jazz
1/5/2019,32,(There's No Place Like) Home For The Holidays,Perry Como,jazz
1/4/2020,37,(There's No Place Like) Home For The Holidays,Perry Como,jazz
12/12/2020,47,(There's No Place Like) Home For The Holidays,Perry Como,jazz
12/19/2020,37,(There's No Place Like) Home For The Holidays,Perry Como,jazz
12/26/2020,43,(There's No Place Like) Home For The Holidays,Perry Como,jazz
1/2/2021,22,(There's No Place Like) Home For The Holidays,Perry Como,jazz
12/13/2014,41,***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,rap
9/23/2017,4,...Ready For It?,Taylor Swift,pop
11/11/2017,46,...Ready For It?,Taylor Swift,pop
9/30/2017,21,...Ready For It?,Taylor Swift,pop
11/18/2017,19,...Ready For It?,Taylor Swift,pop
10/7/2017,34,...Ready For It?,Taylor Swift,pop
11/25/2017,30,...Ready For It?,Taylor Swift,pop
12/2/2017,18,...Ready For It?,Taylor Swift,pop
10/21/2017,47,...Ready For It?,Taylor Swift,pop
10/14/2017,39,...Ready For It?,Taylor Swift,pop
12/9/2017,24,...Ready For It?,Taylor Swift,pop
12/16/2017,31,...Ready For It?,Taylor Swift,pop
12/23/2017,43,...Ready For It?,Taylor Swift,pop
12/30/2017,37,...Ready For It?,Taylor Swift,pop
9/27/2014,35,0 To 100 / The Catch Up,Drake,hip hop
10/4/2014,35,0 To 100 / The Catch Up,Drake,hip hop
10/11/2014,35,0 To 100 / The Catch Up,Drake,hip hop
10/18/2014,38,0 To 100 / The Catch Up,Drake,hip hop
9/20/2014,35,0 To 100 / The Catch Up,Drake,hip hop
9/13/2014,44,0 To 100 / The Catch Up,Drake,hip hop
10/25/2014,37,0 To 100 / The Catch Up,Drake,hip hop
11/1/2014,36,0 To 100 / The Catch Up,Drake,hip hop
11/8/2014,41,0 To 100 / The Catch Up,Drake,hip hop
11/15/2014,44,0 To 100 / The Catch Up,Drake,hip hop
11/26/2016,49,1 Night,Lil Yachty,hip hop
5/27/2017,47,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
8/26/2017,50,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
9/2/2017,37,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
9/9/2017,29,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
10/7/2017,4,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
10/14/2017,4,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
10/21/2017,4,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
10/28/2017,3,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
11/4/2017,3,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
11/11/2017,3,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
11/18/2017,4,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
11/25/2017,6,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
12/2/2017,8,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
12/9/2017,13,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
12/16/2017,14,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
12/23/2017,19,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
12/30/2017,22,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
1/6/2018,34,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
1/13/2018,33,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
9/16/2017,9,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
9/23/2017,5,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
9/30/2017,3,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
1/20/2018,44,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
1/27/2018,45,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
2/3/2018,46,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
2/10/2018,33,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
2/17/2018,40,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
2/24/2018,45,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hip hop
11/17/2018,42,10 Freaky Girls,Metro Boomin Featuring 21 Savage,hip hop
10/19/2019,4,"10,000 Hours",Dan + Shay & Justin Bieber,country
10/26/2019,11,"10,000 Hours",Dan + Shay & Justin Bieber,country
11/2/2019,10,"10,000 Hours",Dan + Shay & Justin Bieber,country
11/9/2019,12,"10,000 Hours",Dan + Shay & Justin Bieber,country
12/14/2019,10,"10,000 Hours",Dan + Shay & Justin Bieber,country
11/23/2019,10,"10,000 Hours",Dan + Shay & Justin Bieber,country
12/21/2019,14,"10,000 Hours",Dan + Shay & Justin Bieber,country
12/28/2019,13,"10,000 Hours",Dan + Shay & Justin Bieber,country
11/16/2019,10,"10,000 Hours",Dan + Shay & Justin Bieber,country
11/30/2019,9,"10,000 Hours",Dan + Shay & Justin Bieber,country
12/7/2019,8,"10,000 Hours",Dan + Shay & Justin Bieber,country
1/4/2020,17,"10,000 Hours",Dan + Shay & Justin Bieber,country
1/11/2020,9,"10,000 Hours",Dan + Shay & Justin Bieber,country
1/18/2020,5,"10,000 Hours",Dan + Shay & Justin Bieber,country
1/25/2020,7,"10,000 Hours",Dan + Shay & Justin Bieber,country
2/1/2020,6,"10,000 Hours",Dan + Shay & Justin Bieber,country
2/8/2020,6,"10,000 Hours",Dan + Shay & Justin Bieber,country
2/29/2020,13,"10,000 Hours",Dan + Shay & Justin Bieber,country
3/7/2020,16,"10,000 Hours",Dan + Shay & Justin Bieber,country
3/14/2020,20,"10,000 Hours",Dan + Shay & Justin Bieber,country
3/21/2020,27,"10,000 Hours",Dan + Shay & Justin Bieber,country
3/28/2020,22,"10,000 Hours",Dan + Shay & Justin Bieber,country
4/4/2020,19,"10,000 Hours",Dan + Shay & Justin Bieber,country
4/11/2020,28,"10,000 Hours",Dan + Shay & Justin Bieber,country
4/18/2020,34,"10,000 Hours",Dan + Shay & Justin Bieber,country
4/25/2020,34,"10,000 Hours",Dan + Shay & Justin Bieber,country
5/2/2020,41,"10,000 Hours",Dan + Shay & Justin Bieber,country
5/9/2020,46,"10,000 Hours",Dan + Shay & Justin Bieber,country
2/15/2020,8,"10,000 Hours",Dan + Shay & Justin Bieber,country
2/22/2020,9,"10,000 Hours",Dan + Shay & Justin Bieber,country
5/29/2021,14,100.mil',J. Cole & Bas,NA
4/19/2014,42,19 You + Me,Dan + Shay,country
5/5/2018,20,1985 (Intro To The Fall Off),J. Cole,hip hop
5/7/2016,41,1999,Prince,pop
5/14/2016,27,1999,Prince,pop
7/12/2014,40,2 On,Tinashe Featuring ScHoolboy Q,r&b
7/19/2014,36,2 On,Tinashe Featuring ScHoolboy Q,r&b
7/26/2014,27,2 On,Tinashe Featuring ScHoolboy Q,r&b
8/2/2014,25,2 On,Tinashe Featuring ScHoolboy Q,r&b
6/28/2014,44,2 On,Tinashe Featuring ScHoolboy Q,r&b
8/9/2014,24,2 On,Tinashe Featuring ScHoolboy Q,r&b
8/16/2014,26,2 On,Tinashe Featuring ScHoolboy Q,r&b
8/23/2014,25,2 On,Tinashe Featuring ScHoolboy Q,r&b
8/30/2014,27,2 On,Tinashe Featuring ScHoolboy Q,r&b
9/6/2014,29,2 On,Tinashe Featuring ScHoolboy Q,r&b
9/13/2014,35,2 On,Tinashe Featuring ScHoolboy Q,r&b
10/4/2014,34,2 On,Tinashe Featuring ScHoolboy Q,r&b
10/11/2014,36,2 On,Tinashe Featuring ScHoolboy Q,r&b
10/18/2014,34,2 On,Tinashe Featuring ScHoolboy Q,r&b
10/25/2014,36,2 On,Tinashe Featuring ScHoolboy Q,r&b
11/1/2014,43,2 On,Tinashe Featuring ScHoolboy Q,r&b
9/20/2014,34,2 On,Tinashe Featuring ScHoolboy Q,r&b
9/27/2014,32,2 On,Tinashe Featuring ScHoolboy Q,r&b
3/12/2016,29,2 Phones,Kevin Gates,rap
3/19/2016,25,2 Phones,Kevin Gates,rap
3/26/2016,21,2 Phones,Kevin Gates,rap
4/2/2016,18,2 Phones,Kevin Gates,rap
2/20/2016,46,2 Phones,Kevin Gates,rap
3/5/2016,40,2 Phones,Kevin Gates,rap
2/27/2016,44,2 Phones,Kevin Gates,rap
4/9/2016,18,2 Phones,Kevin Gates,rap
4/16/2016,18,2 Phones,Kevin Gates,rap
4/30/2016,18,2 Phones,Kevin Gates,rap
5/7/2016,19,2 Phones,Kevin Gates,rap
5/14/2016,32,2 Phones,Kevin Gates,rap
4/23/2016,17,2 Phones,Kevin Gates,rap
6/4/2016,27,2 Phones,Kevin Gates,rap
6/11/2016,32,2 Phones,Kevin Gates,rap
6/18/2016,34,2 Phones,Kevin Gates,rap
6/25/2016,39,2 Phones,Kevin Gates,rap
7/2/2016,42,2 Phones,Kevin Gates,rap
7/9/2016,45,2 Phones,Kevin Gates,rap
5/21/2016,26,2 Phones,Kevin Gates,rap
5/28/2016,25,2 Phones,Kevin Gates,rap
9/8/2012,45,2 Reasons,Trey Songz Featuring T.I.,rap
9/15/2012,43,2 Reasons,Trey Songz Featuring T.I.,rap
10/6/2012,46,2 Reasons,Trey Songz Featuring T.I.,rap
10/13/2012,49,2 Reasons,Trey Songz Featuring T.I.,rap
10/20/2012,50,2 Reasons,Trey Songz Featuring T.I.,rap
10/27/2012,46,2 Reasons,Trey Songz Featuring T.I.,rap
11/3/2012,48,2 Reasons,Trey Songz Featuring T.I.,rap
11/10/2012,48,2 Reasons,Trey Songz Featuring T.I.,rap
8/21/2010,50,2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,rap
10/9/2010,36,2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,rap
10/16/2010,33,2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,rap
10/23/2010,31,2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,rap
10/30/2010,33,2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,rap
9/18/2010,49,2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,rap
10/2/2010,41,2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,rap
9/25/2010,41,2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,rap
11/6/2010,42,2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,rap
11/16/2019,35,223's,YNW Melly & 9lokknine,rap
10/5/2019,38,223's,YNW Melly & 9lokknine,rap
11/23/2019,44,223's,YNW Melly & 9lokknine,rap
10/19/2019,37,223's,YNW Melly & 9lokknine,rap
10/12/2019,34,223's,YNW Melly & 9lokknine,rap
11/2/2019,45,223's,YNW Melly & 9lokknine,rap
10/26/2019,42,223's,YNW Melly & 9lokknine,rap
11/10/2012,44,22,Taylor Swift,pop
4/6/2013,26,22,Taylor Swift,pop
4/13/2013,33,22,Taylor Swift,pop
4/20/2013,34,22,Taylor Swift,pop
4/27/2013,32,22,Taylor Swift,pop
5/4/2013,24,22,Taylor Swift,pop
5/11/2013,20,22,Taylor Swift,pop
5/18/2013,21,22,Taylor Swift,pop
5/25/2013,25,22,Taylor Swift,pop
6/1/2013,26,22,Taylor Swift,pop
6/8/2013,23,22,Taylor Swift,pop
6/15/2013,24,22,Taylor Swift,pop
6/22/2013,26,22,Taylor Swift,pop
6/29/2013,32,22,Taylor Swift,pop
7/6/2013,41,22,Taylor Swift,pop
7/13/2013,49,22,Taylor Swift,pop
12/14/2013,16,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
12/21/2013,21,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
12/28/2013,18,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
1/4/2014,20,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
1/11/2014,14,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
10/12/2013,11,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
10/19/2013,17,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
10/26/2013,14,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
11/2/2013,14,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
11/9/2013,12,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
11/16/2013,13,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
11/23/2013,17,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
11/30/2013,12,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
12/7/2013,15,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
1/18/2014,22,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
1/25/2014,23,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
2/1/2014,29,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
2/8/2014,37,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
2/15/2014,42,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
2/22/2014,47,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
3/1/2014,48,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
3/8/2014,50,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",hip hop
10/29/2016,5,24K Magic,Bruno Mars,pop
11/5/2016,6,24K Magic,Bruno Mars,pop
11/12/2016,6,24K Magic,Bruno Mars,pop
11/19/2016,7,24K Magic,Bruno Mars,pop
12/24/2016,4,24K Magic,Bruno Mars,pop
12/31/2016,4,24K Magic,Bruno Mars,pop
1/7/2017,4,24K Magic,Bruno Mars,pop
11/26/2016,6,24K Magic,Bruno Mars,pop
12/10/2016,4,24K Magic,Bruno Mars,pop
12/3/2016,6,24K Magic,Bruno Mars,pop
12/17/2016,5,24K Magic,Bruno Mars,pop
1/14/2017,5,24K Magic,Bruno Mars,pop
1/21/2017,5,24K Magic,Bruno Mars,pop
1/28/2017,7,24K Magic,Bruno Mars,pop
2/4/2017,10,24K Magic,Bruno Mars,pop
2/11/2017,11,24K Magic,Bruno Mars,pop
2/18/2017,12,24K Magic,Bruno Mars,pop
3/11/2017,15,24K Magic,Bruno Mars,pop
3/18/2017,18,24K Magic,Bruno Mars,pop
3/25/2017,16,24K Magic,Bruno Mars,pop
4/1/2017,22,24K Magic,Bruno Mars,pop
4/8/2017,27,24K Magic,Bruno Mars,pop
4/15/2017,29,24K Magic,Bruno Mars,pop
4/22/2017,27,24K Magic,Bruno Mars,pop
4/29/2017,30,24K Magic,Bruno Mars,pop
5/6/2017,41,24K Magic,Bruno Mars,pop
5/13/2017,35,24K Magic,Bruno Mars,pop
5/20/2017,35,24K Magic,Bruno Mars,pop
5/27/2017,35,24K Magic,Bruno Mars,pop
6/3/2017,40,24K Magic,Bruno Mars,pop
